Headache_During_Game,Headache_After_Game,Blurred_During_Game,Blurred_After_Game,Dry_or_redeye_during_Game,Dry_or_redeye_After_Game,Double_Vision_After_Game,Double_Vision_After_Game,Light_sense_During_Game,Light_Sense_After_Game,Other_Eye_Affects,Very Good Posture,Good Posture,Fair Posture,Poor Posture,Very Poor Posture,Ok,Awful,Neck discomfort,shoulders discomfort,lower back discomfort,Hands discomfort,Wrists discomfort/pain,Fingers discomfort/blisters,Thumbs discomfort/blisters,Repetitive Strain Injury,Other causes of injuries,Motion controllers,Arcade genre,Puzzle genre,RPG genre,Sim genre,RTS genre,Driving genre,FPS genre,Platform genre,Rhythm genre,Sport genre,Other Genres,Key/Mouse controller,FF Pad,Jpad,Motion controller,Rhythm controller,Other Controllers,Gender,Years,Age,hours_per_week,Year interval
Y,Y,,,,Y,,,,Y,,,,P,C,,,,B Stiff,,B Stiff,,,,,No,,No,,Y,Y,,,,,,,,,,Y,,,,,F,14,18,-,2011 - 2012
,,,Y,Y,Y,,,,,,,,B,,,,,B,,B Stiff,,,,,No,,No,,,Y,,,,,,,,,Y,Y,,,,,M,15,20,20,2011 - 2012
,,,,Y,,,,,,,,,P,C,,,,,,,,,,,No,,No,,,Y,,Y,,Y,,,,,Y,,,,,,M,10,19,30,2011 - 2012
,,,,,Y,,,,,,,P,C,,,,,,,,,,,,Yes,No,No,,,Y,,,Y,Y,,,,,Y,,,,,,M,14,21,8,2011 - 2012
Y,Y,,,,,,,,Y,,,C,,P,,,,,,,,,,,No,,No,,,Y,,Y,,,,,,,Y,Y,,,,,M,18,21,10,2011 - 2012
,,,,Y,,,,,,,C,,P,,,,,,,,,,,,No,,FPS,,,Y,,,,,,,,,,Y,,,,,M,16,19,45,2011 - 2012
,,,,,,,,,,Tired,,C,P,,,,,,A Tired,,A Tired,,A Tired,,No,,No,Y,,Y,,,,,,,,Fighting,Y,Y,,Y,,,M,14,18,16,2011 - 2012
Y,Y,Y,Y,Y,Y,,,,,,,,B,,,,,B Ache/Pain,B Ache/Pain,,,,,,No,,No,,Y,,,,,,,,Y,,Y,,,,,,F,20,,6,2012 - 2013
,Y,,Y,,,,,,Y,,,,,B,,,,B Tension,B Tension,,,,,B Tension,No,,No,Y,,,Y,,,,Y,,,,Y,,Y,,,,F,16,22,5,2012 - 2013
,Y,,Y,,,,,,,,,P,C,,,,,,,D Strain,,,,,No,,No,,,Y,,Y,,Y,,,,,Y,,,,,,M,10,20,23,2012 - 2013
,Y,,,,,Y,,,,,,P,C,,,,,,,,,,,,No,,No,,,Y,,Y,,Y,,,,,Y,Y,,,,,M,8,18,17,2012 - 2013
,Y,,,,,,,Y,,,C,,,,P,,,,,,D Pain,,D Blister,D Blister,No,,No,,,Y,,,,Y,,,,,Y,Y,,Y,,,M,26,30,70,2012 - 2013
,,Y,,Y,,,,,,,,C,P,,,,,,,,,,,,No,,No,,,,,Y,,,,,,Jandook,Y,,Y,,,,M,15,20,25,2012 - 2013
,Y,,,,,,,,,,,,,,C,,,,,A Work rel.,,A Tingling,A Numbness,,No,,No,,,,,,,,,,,,,,,,,,,,One page only ,,2012 - 2013
,Y,,Y,,,,,,,,,C,P,,,,,D Arthritic,,A Arthritic,,,,D Blister,No,,No,,,Y,,Y,,Y,,Y,,,Y,Y,,,,,M,20,25,14,2012 - 2013
,Y,,,,,,,,,,,P,,,,,,,,D Hurts,,,,,No,,No,,,,Y,Y,,,,,,Moba,Y,,,,,,M,18,23,75,2012 - 2013
Y,,,,Y,,,,Y,,,,,C,P,,,,,A Ache,A Ache,B Cramp,D Cramp,,,No,,Mirror's Edge,,Y,,,,,,Y,,,,Y,Y,,,,,F,14,18,12,2012 - 2013
,,,,,,,,,,,,,P,C,,,,,,,,,A Blister Ache,A Blister Ache,No,,No,,,Y,,Y,,Y,,,,,Y,Y,,,,,M,16,21,75,2012 - 2013
,Y,,,Y,Y,,,Y,,,C,,,P,,,,B Stiffness,B Stiffness,,,,B Blister,B Blister,No,,No,,,Y,,,,,Y,,,,,Y,,,,,M,18,28,25,2012 - 2013
,Y,,,,,,,,,,B,,,,,,,,,,,,,,No,,No,,,Y,,,,Y,,,Y,,Y,Y,,,,,M,16,19,10,2012 - 2013
Y,Y,Y,,,,,,,,,,,,B,,,,,,,,,,,No,,FPS/Fight,,,Y,,,,,,,,,Y,,Y,,,,M,12,20,5,2012 - 2013
,,,Y,,Y,,,,,,,,P,C,,,,,,D Discomfort,,,A Ache,A Irritated,No,,Platform,,,Y,,,,Y,Y,,,,,Y,,Y,,,M,15,19,75,2012 - 2013
Y,Y,Y,Y,,Y,Y,,Y,Y,,,,P,C,,,,B Discomfort,,B Ache,A Soreness,B Discomfort,D Numbness,D Numbness,No,,No,,,Y,Y,,,Y,,,,,Y,,,,,,M,14,20,15,2012 - 2013
,,,Y,,,,Y,,,,,P,C,,,,,,,B Pain,,,,,No,,No,,,Y,,Y,,Y,,,,,Y,,,,,,M,23,26,75,2012 - 2013
,,,,Y,,,,,,,,,B,,,,,D Ache,,,,D Pain,,,No,,No,,,Y,,,,Y,,,,,,,,,,,M,15,19,3,2012 - 2013
,Y,,,,,,,,,,,C,,P,,,,,,,,,D,D,No,,No,,,Y,,Y,,Y,,,,,Y,Y,,,,,M,11,19,85,2012 - 2013
,Y,,,,,,Y,,,,,C,,P,,,,A Strain,,,,,,D ,No,,No,,Y,Y,,Y,,,,,,,Y,Y,,,,,M,10,20,85,2012 - 2013
Y,Y,Y,,Y,Y,,,,Y,,,,B,,,,,D Discomfort,,,,D Discomfort,D Blister,D Blister,No,,FPS,,Y,,,Y,,Y,,,,,Y,,Y,,,,F,4,19,5,2012 - 2013
,,,,,,,,,Y,,,C,P,,,,,,,A Pain,,,,,No,,No,,,,,,,Y,,,,,,Y,,,,,M,8,19,10,2012 - 2013
,,,,Y,,,,,,,,,C,P,,,,,,,,,,,No,,No,,,,,,,Y,,,Y,,,Y,,,,,M,15,23,25,2012 - 2013
Y,Y,,,,,,,,,,,B,,,,,,,,,,,,,No,,No,,Y,,,Y,,Y,,,,,Y,,,,,,M,11,22,5,2012 - 2013
Y,Y,,,,,,,,,,C,,P,,,,,D Posture,,,,,,,No,,No,,,,,,,Y,Y,,Y,,,Y,,,,,M,16,21,30,2012 - 2013
,,,,Y,,,,,,,,P,C,,,,,A Stiff,,,,,,,No,,No,,,Y,Y,Y,,,,,,,Y,Y,,,,,M,16,18,48,2012 - 2013
,,,,Y,,,,,,,,C,P,,,,,D Strain,,,,,D Strain,,No,,No,,,Y,,Y,,Y,,,,,Y,Y,,,,,M,12,18,10,2012 - 2013
Y,Y,Y,Y,Y,Y,,,,,,,B,,,,,,,,B Hunched,,,,,No,,No,,,Y,,,,Y,,,,Fight,Y,Y,,,,,M,12,18,25,2012 - 2013
Y,Y,Y,,,,,,,,,,,B,,,,,D Stiff,,,,D Stiff,,,No,,No,,,Y,,,,Y,,,,,Y,Y,,,,,M,15,18,35,2012 - 2013
,Y,,,,Y,,,,,,,P,C,,,,,,,,,D Discomfort,D Discomfort,D Discomfort,No,,No,,,Y,,,Y,Y,,,,,Y,Y,,,,,M,14,19,10,2012 - 2013
Y,,,,,,,,,,,,B,,,,,,,,,,,D Ache,,No,,No,,,,,,,Y,,,,,,Y,,,,,M,16,23,5,2012 - 2013
,Y,Y,Y,Y,,,,,Y,,P,C,,,,,,,,,,,,,No,,No,,,Y,,Y,,Y,,,,,,Y,,,,,M,9,19,1,2012 - 2013
Y,Y,,,,Y,,,Y,Y,,,C,,P,,,,A Sore,,A Sore,A Strained,,,,No,,No,,,Y,,,,,,,,,,Y,,,,,F,13,19,30,2012 - 2013
,,,Y,,Y,,,,,,,C,P,,,,,,,,,,,,No,,No,,,Y,,Y,,Y,,,,,Y,Y,,,,,M,14,21,20,2012 - 2013
Y,,,,,,,,,,,,B,,,,,,,,A Ache,,,,,No,,No,,,Y,,,,Y,Y,,,,,Y,,,,,M,14,20,15,2012 - 2013
,,,,,,,Y,,,,C,P,,,,,,,,,,,,D Locking,No,,No,,Y,,,,,Y,,,,,Y,Y,,,,,M,15,20,10,2012 - 2013
,,,,,,,Y,,Y,,,,P,,C,,,,,A Ache,,,,,No,,No,,Y,,,Y,,Y,,,,,Y,,,,,,M,16,22,80,2012 - 2013
Y,Y,Y,Y,Y,,,,,Y,,,C,,P,,,,B Sore,B Sore,B Pain,B Discomfort,B Discomfort,B Pain,,No,,Plat/Dance,,,y,,,,y,,,,Minecraft,y,y,,,,,F,14,19,14,2012 - 2013
,,,,,,,,,,,,,,,B,,,,,,,,,,No,,No,,,Y,Y,Y,,,,,,,Y,,,,,,Both,15,18,30,2012 - 2013
,,,,,,,,,,,,B,,,,,,D Ache/Pain,D Ache/Pain,,,,,,No,,Watching,,Y,Y,,,,Y,,,,,Y,Y,,,,,F,12,19,20,2012 - 2013
Y,,,,Y,,,,,,,,,P,C,,,,,,,,,A Numbness,,No,,No,Y,,Y,,,,,Y,,,,Y,Y,Y,,,,F,16,20,15,2012 - 2013
,,,Y,,,,,,Y,,,B,,,,,,,,,,,,,No,,No,,,,Y,Y,,Y,,,,,Y,,Y,,,,F,14,20,24,2012 - 2013
,,,Y,,,,,,Y,,,C,P,,,,,,,,,,,,No,,No,,,Y,,,,Y,,,,,,Y,,,,,M,13,24,10,2012 - 2013
,,,,,,,,,,,,,,B,,,,,B Pain,B Pain,,,,,No,,No,,,,,Y,,Y,Y,,,,Y,,Y,,,,M,16,20,20,2012 - 2013
Y,,,,Y,,,,,,,B,,,,,,,,,D PC,,,,,No,,Travelling,,Y,,,,,,,,,,,Y,,,,,M,15,20,10,2012 - 2013
,,,,,,,,,,,,,,,B,,,,,A Ache,,,,,No,,No,,,Y,,,,,,,,,Y,,,,,,M,14,18,36,2012 - 2013
,Y,,Y,,Y,,Y,,Y,,,,,B,,,,,,,,,,,No,,No,,,Y,,,,,Y,,,,Y,Y,,Y,,,M,18,21,30,2012 - 2013
Y,Y,,,,,,Y,,,,,P,,,C,,,,D Discomfort,,,,,,No,,No,,,Y,,Y,,Y,,,,,Y,Y,,,Y,,M,18,21,30,2012 - 2013
Y,Y,Y,Y,Y,Y,,,Y,Y,,,,P,C,,,,B,D,B,,B,,B,No,,FPS,,Y,Y,,,,,Y,,,,Y,Y,,,,,F,16,22,5,2012 - 2013
Y,Y,,,,,,,,,,P,C,,,,,,,,,,,,,Yes,Not,No,,,Y,,,,,,,,,Y,Y,,,,,M,14,18,10,2012 - 2013
,Y,,,Y,,,,,Y,,,C,,P,,,,,,B Stiff,,D Pain,,,No,,No,,,Y,,,Y,Y,,,,,Y,Y,,,,,M,10,19,12,2012 - 2013
Y,Y,Y,Y,,,Y,Y,,,B Tears,,,C,P,,,,B Stiff/Pain,B Stiff/Pain,D Stiff,B Pins Needles,A Sore,,,No,,No,Y,,,,,,Y,Y,,,,Y,Y,Y,,,,F,16,19,65,2012 - 2013
Y,Y,,Y,,,,,,Y,,C,,P,,,,,B Ache,,,,,,B Ache,No,,No,Y,,Y,,,,,Y,,,,Y,Y,,Y,,,F,5,18,7,2012 - 2013
Y,,,Y,,,,,,Y,,,,B,,,,,D Strain,D Strain,,,,,,No,,No,,,Y,Y,Y,,,,,,,Y,,,,,,M,14,21,28,2012 - 2013
Y,Y,,Y,,Y,Y,Y,,,,,,C,P,,,,B Posture,B Posture,B Posture,D Pain,D Pain,D Pain,D Pain,No,,No,,,Y,,,,,Y,,,Fight,Y,Y,Y,,Y,,M,14,19,35,2012 - 2013
Y,,,,,Y,,,,,,,,,B,,,,,,,,A,,A,No,,No,,,Y,,,,Y,,,,,Y,,,,,,M,15,19,22,2012 - 2013
,Y,,,,Y,,,,,,,,P,C,,,,D,D,,A,A,A,,No,,No,,,Y,,Y,,Y,,,,,Y,,,,,,M,13,19,18,2012 - 2013
,,,,,,,Y,,,,,,B,,,,,,,B Not just games,,,,,No,,No,,Y,,,,,,,,,Minesweeper,Y,,,Y,,,F,10,19,8,2012 - 2013
Y,Y,,,,Y,,,,Y,,,,C,,P,,,D Discomfort,D Pain,D Discomfort,,,D Pain,D Pain/Numb,No,,No,,,Y,,,Y,Y,,,,,Y,Y,,,,,M,13,19,45,2012 - 2013
Y,Y,,Y,,Y,Y,Y,Y,Y,,,,P,,C,,,B Pain,B Pain,B Pain,B Pain/Blister,B Pain,B Pain/Blister,,Yes,Computing,No,,,Y,,Y,,,,,,Moba,Y,,,,,,M,10,21,70,2012 - 2013
,,Y,Y,Y,Y,,,,Y,,C,,,,P,,,B Soreness,B Soreness,,,,,,No,,No,,,Y,,,,,Y,,,Horror,Y,Y,,,,,M,18,22,15,2012 - 2013
,,,,,,,,,Y,,,C,,P,,,,,,D Numbness,,A Discomfort,,A Discomfort,No,,No,,,Y,,Y,,,Y,,,,Y,Y,,,,,M,15,21,21,2012 - 2013
,Y,,,,,,,,,,P,C,,,,,,,,,,,,,No,,No,,,Y,,,,,,,Y,,,Y,,,,,M,14,20,53,2012 - 2013
Y,,,,,,,,,,,,,,B,,,,D Pain,,D Pain,,,,,No,,No,,,Y,,,,Y,,,,Horror,,Y,,Y,,,M,16,19,20,2012 - 2013
,,,,,Y,,,,,,,,,,B,,,D Tight/Pain,,,,,,A Blister,No,,FPS,,,Y,,,Y,Y,,,,,Y,Y,,,,,M,14,22,65,2012 - 2013
,,,,,Y,,,,,,,,B,,,,,,,,,,,,No,,No,,,Y,,Y,,Y,,,,,,Y,,,,,M,13,19,12,2013 - 2014
,,,,Y,,,,,,,,,C,,P,,,B Ache,B Ache,B Ache,B Cold Hands,,,,No,,No,,,Y,Y,,,Y,,,,,Y,,,,,,F,16,19,50,2013 - 2014
,,,,,,,,,,,,P,C,,,,,,,,,,D Numb,,No,,No,,,Y,,Y,,Y,,,,,,Y,,,,,M,15,19,30,2013 - 2014
,Y,,,Y,Y,,,,,,,C,P,,,,,,,,,B Strain,,,No,,No,,,,,,,Y,,,,Moba,Y,Y,,,,,M,18,20,22,2013 - 2014
Y,Y,,,,,,,,,,,,B,,,,,,,,,B Strain,,,No,,No,,,Y,,,,Y,,,,Moba,Y,,,,,,M,18,20,25,2013 - 2014
,,,,,,,,Y,,,C,,,,,,,,,,,,,D Numb,No,,No,,,,,,Y,,,,,,,Y,,,,,M,11,18,5,2013 - 2014
,,,,,,,,,,,,,P,,,,,,,,,,,,No,,No,,,Y,,Y,,Y,,,,,Y,,,,,,M,9,20,21,2013 - 2014
,,,,,Y,,,,,,,,,B,,,,,,,,A Mild Pain,,,No,,No,,,y,,y,,,,,,,y,y,,,,,M,15,20,42,2013 - 2014
,,,,,Y,,,,Y,,,p,,c,,,,B Ache,,,D Cold,,,,No,,No,,,Y,,,,Y,Y,,,,Y,Y,,,,,M,16,21,75,2013 - 2014
Y,Y,Y,Y,,,,,Y,Y,Migrain,,,B,,,,,B Ache,B Pain,B Ache,B Ache,B Carpal,,,No,,No,,Y,Y,,,,Y,,,,,Y,Y,,,,,M,20,23,30,2013 - 2014
Y,Y,,,Y,Y,,,,Y,,,,C,P,,,,B Pain,B Clicking/Locking,B Clicking/Locking,B Pain,B Locking,B White Finger,B White Finger,No,,FPS/Driving,,Y,Y,,,,,Y,,,,Y,Y,,,,,F,15,18,8,2013 - 2014
Y,Y,Y,Y,Y,Y,Y,,Y,,,,C,,P,,,,B,,D,,,,B White Finger,No,,No,,,Y,,,,Y,Y,,,,Y,Y,,,,,M,17,20,10,2013 - 2014
,,,,Y,,,,,,,P,,,C,,,,D Pain,,,,D Pain,D Numbness,,No,,No,,,Y,,Y,Y,Y,,,,,Y,Y,,,,,M,10,18,6,2013 - 2014
Y,,,,,,,,,,,,,,B,,,,,,,,,B Blisters,B Blisters,No,,No,,,Y,,,,,,,,,,Y,,,,,M,15,20,8,2013 - 2014
Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,C,,P,,,,A,D,D,A,A,A,A,No,,FPS/Driving,,,Y,,Y,,Y,,,,,Y,Y,,,,,M,12,18,28,2013 - 2014
,,Y,,,,,,,,,,,P,,,,,,,,,,,,No,,No,,,,,Y,,Y,,,Y,,,Y,,,,,M,15,22,10,2013 - 2014
,Y,,Y,,Y,,,,,,,,B,,,,,D Ache,,,,,,,No,,No,,,Y,,,,Y,,,Y,,Y,Y,,,,,M,10,19,25,2013 - 2014
,Y,Glasses,,,,,,,,Nausiated,,,P,,,,,A Ache,A Ache,A Stiffness,,,,,No,,FPS,,,Y,,,,,,,,,Y,,,,,,M,17,20,7,2013 - 2014
,,,,,,,,Y,,,B,,,,,,,A Sore,,,,,,B Blisters,No,,No,,,,Y,Y,,Y,,,,,Y,,,,,,M,12,18,15,2013 - 2014
,,Y,,,,,,,Y,,,B,,,,,,A Discomfort,,,,,,,No,,No,,,Y,,,,,Y,,,,Y,,,,,3DS,M,12,18,10,2013 - 2014
,,,,,,,,,,,,C,,P,,,,,,B,,,,D,No,,No,,Y,Y,,,Y,,,,,,,Y,,,,Wheel,M,15,18,25,2013 - 2014
Y,,,Y,Y,,,,,,,,,,C,P,,,,A Discomfort,,,A Discomfort,,D Pain,No,,No,,,Y,,,,Y,Y,,,,,Y,,,,,M,13,19,24,2013 - 2014
,,,,Y,,,,,,,,B,,,,,,,,,,,,A Pain,No,,No,,,,,,,,,,,Soundbox,Y,,,,,,M,12,19,12,2013 - 2014
,,,Y,,Y,,,,Y,,C,P,,,,,,,,,,,,D Pain,No,,No,,,,,Y,,,Y,,,,,,Y,,,,M,10,21,9,2013 - 2014
,,,,,,,,,Y,,,C,P,,,,,,,B Pain,,,,,No,,No,,,Y,,,,,,,,,Y,Y,,,,,M,15,19,25,2013 - 2014
,,,,,Y,,,,,,,,B,,,,,D Ache,,,,,,,No,,FPS,,,Y,,,,Y,Y,,,,,,,,,,F,13,19,15,2013 - 2014
,,,,,Y,,,,Y,,,B,,,,,,,,A Ache,,,,,No,,No,,,Y,Y,,,Y,,,,,Y,Y,Y,,,,M,15,20,15,2013 - 2014
,,,,,,,,,,,,,B,,,,,,,,,,,,No,,FPS,,,Y,Y,Y,,,,,,,Y,,,,,,F,9,20,25,2013 - 2014
Y,Y,,Y,Y,Y,,,,Y,,,C,,P,,,,,,B Ache,,B Ache,,,YES,Games,No,,Y,Y,,,,Y,,,,,,Y,,,,,F,12,19,20,2013 - 2014
,,,,Y,,,,,,,,P,,C,,,,,,B Pain,,,,,No,,No,,,,Y,,,Y,,,,,Y,,,,,,M,15,20,10,2013 - 2014
,,,,,Y,,,,Y,,,,C,,,,,,,A Pain,,,,,No,,No,,Y,Y,,,,,Y,,,,,Y,,,,,M,13,18,30,2013 - 2014
Y,Y,,,,,,,Y,Y,,P,C,,,,,,,,,,,,,No,,No,,,Y,,Y,,Y,,,,,Y,,,,,,M,14,19,60,2013 - 2014
,,,,Y,Y,,,,Y,,,C,,,P,,,,,A Ache,,,,,No,,No,,,Y,,,Y,Y,,,,,,Y,,,,,M,16,19,20,2013 - 2014
,Y,,,,,,,,,,,,B,,,,,,,,,,,B Sore,No,,No,,,Y,,,,,Y,,,Adventure,,Y,,Y,,,M,15,19,15,2013 - 2014
Y,Y,,,,,,,,,,,P,C,,,,,,,,,,,B Ache,No,,No,,,Y,Y,,,,Y,,,,,Y,,,,,F,15,20,15,2013 - 2014
,,,Y,,,,,,,,,,B,,,,,,,,,,,,No,,No,,,,,,,,,,,Moba,Y,,Y,,,,M,21,24,30,2013 - 2014
,,,,,,,,,,,,,,B,,,,,,,,,,,No,,No,,,,,,,Y,Y,,,,Y,,,,,,M,13,19,10,2013 - 2014
,Y,,Y,Y,,,,,Y,,,,C,,P,,,D Discomfort,,,,D Pain,,D Pain,No,,No,,,Y,,Y,,Y,,,,,Y,Y,,,,,F,17,23,10,2013 - 2014
,,,,,,,,Y,,,C,P,,,,,,D Ache,,,,,,,No,,No,,,,,Y,,,,,,,Y,,,,,,M,12,18,20,2013 - 2014
Y,Y,Y,Y,Y,Y,,,Y,Y,,,,P,,C,,,A Pain,,,,,,,No,,No,Y,,Y,,,,Y,,,,,,Y,,,,,M,13,19,10,2013 - 2014
,Y,,,,,,,,,,,P,,C,,,,A Pain,,,,,,,No,,No,,,Y,,,,Y,,,,,,,,,,,M,9,18,8,2013 - 2014
Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,P,C,,,,B Pain,B Pain,,,D Stiff,,,No,,No,,Y,,Y,,,Y,,,,,Y,,,,,,F,11,19,6,2013 - 2014
Y,Y,,,,Y,,,,,,,C,P,,,,,,,D Discomfort,,,,,No,,No,,Y,Y,,Y,,,,,,,Y,,,,,,F,18,22,40,2013 - 2014
Y,Y,,,,Y,,,,Y,,,P,,C,,,,A Pain,,B Pain,,A Pain,,,No,,No,,,Y,Y,,,,Y,,,,Y,Y,,,,,F,10,18,30,2013 - 2014
Y,Y,,,,,,,,,,,C,P,,,,,,,,,A Strain,,,No,,No,,,Y,,,,,,,,MMO,Y,,,,,3DS,F,12,18,20,2013 - 2014
,,,,Y,Y,,,,,,,B,,,,,,D Ache,,D Ache,D Pain,A Pain,D Pain,A Pain,No,,No,,,Y,Y,,,,Y,,,,Y,Y,,,,,M,8,18,6,2013 - 2014
Y,Y,,Y,Y,Y,,,,,,,,P,C,,,,,,D Ache,D Blisters,,,,No,,No,,,Y,,Y,,Y,,,,,Y,,,,,,M,10,18,45,2013 - 2014
,,,Y,,,,,,Y,,,P,C,,,,,,,,,,,,No,,No,,,Y,,,,Y,,,,,Y,Y,,,,,M,11,18,30,2013 - 2014
Y,Y,,,,Y,,,,,,,C,P,,,,,A Ache,A Ache,,,,,,No,,No,,,Y,,,,Y,Y,,,,Y,,,,,,M,20,25,11,2013 - 2014
Y,Y,,,,Y,,,,Y,,,B,,,,,,,,,,D Numbness,,,No,,No,Y,,Y,,,,Y,,,,,Y,Y,,,,,M,15,20,11,2013 - 2014
Y,Y,,,,,,,,Y,,B,,,,,,,,,,,B RSI,,B RSI,YES,CTS,No,,,Y,,,,,,,,Moba,Y,,,,,Handheld,M,14,19,3,2013 - 2014
,,Y,Y,Y,Y,,,,,,,,C,P,,,,D Ache,D Ache,,D Ache,,,,YES,Injusry+overuse,Underwater Levels,,,Y,Y,,,,,,,3FS,,Y,,,,,F,16,21,4,2013 - 2014
Y,Y,,Y,Y,Y,,,,Y Result of Meningitis,"Irrelevant, you get headaches reading books",,B,,,,,,B Strain,,,,,,,No,,No,,,,Y,Y,,Y,,,,,Y,Y,,,,,M,17,19,24,2013 - 2014
Y,Y,,,,Y,,,Y,,,,B,,,,,,,,,A Strain,D Pain,,,No,,No,,,Y,,Y,Y,,Y,,,,Y,,,,,,M,14,19,40,2013 - 2014
Y,Y,,Y,Y,Y,,,Y,Y,,,,P,,C,,,B Pain,,,,,,,No,,No,,,,,,,,,,,Art,Y,Y,,,,,M,15,19,10,2013 - 2014
,,Y,,,,,,Y,,,,B,,,,,,D,B,,,,D,,No,,No,,Y,Y,,,,,Y,,,,Y,Y,,,,,M,15,21,35,2013 - 2014
Y,,,,Y,,,,,,,,C,P,,,,,D,D,B,,,,,No,,No,,,Y,,Y,,Y,,,,,Y,Y,,,,,M,16,19,10,2013 - 2014
,,Y,,,Y,,,,,,,C,,P,,,,B Discomfort,B Discomfort,,,,,D Pain,No,,Driving,,,,,,,Y,Y,,,3PS/Action,Y,,,,,,M,18,21,7,2013 - 2014
,,,Y,,,,,,,,,B,,,,,,A Ache,A Ache,A Ache,D Blisters,,,,No,,No,,,,,Y,,,,,,Moba,Y,,,,,,M,20,22,10,2013 - 2014
,Y,,Y,,,,Y,,,,C,,P,,,,,B Pain,,,,,,B Pain,No,,No,,,Y,,,,,,,,MMORPG,Y,,,,,,M,12,18,18,2013 - 2014
,,,,,,,,,,,,,B,,,,,,,,,D,,B,No,,FPS,,,Y,,,,,,,,,Y,,,,,,M,7,20,20,2013 - 2014
Y,Y,,,Y,Y,,,,Y,,,P,C,,,,,D Pain,,,,D Pain,,,No,,No,,,Y,,,,Y,,,Y,,Y,,,,,,M,15,19,40,2013 - 2014
,Y,Y,,Y,Y,Y,,,Y,,,B,,,,,,,,,,,,,No,,No,,,,,Y,,,,,,,,Y,,,,,M,10,21,6,2013 - 2014
,,,,Y,Y,,,Y,,,,,,,B,,,,,,D Friction Burn,,D Pain,,No,,No,,,,,,Y,,,,,Mobile,Y,Y,Y,,,Mobile,M,15,19,7,2013 - 2014
Y,Y,,,,,,,,,,,,B,,,,,,,,,B Numbness,,,No,,No,Y,,Y,,,,Y,,,,,Y,Y,,,,,M,12,20,28,2013 - 2014
Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,C,P,,,,,B Pain,B Pain,B Pain,B Pain,B Pain,B Pain,B Pain,YES,Games,FPS,Y,,Y,,,,Y,Y,,,,Y,,,,,,M,20,24,20,2013 - 2014
Y,,Y,Y,Y,Y,Y,,,,,,B,,,,,,B Ache,B Ache,B Ache,B Ache,D Ache,D Ache,D Ache,No,,No,,,Y,,,,Y,,,,,Y,Y,,,,,M,18,22,5,2013 - 2014
Y,Y,Y,,,Y,Y,,,Y,,,,,C,,,,,,B Pain,D Pain,B Pain,D Numbness,D Numbness,YES,Not specified,Plat/Dance/Driving,Y,Y,Y,,,,,,,,,,Y,Y,,,3DS,M,17,19,44,2013 - 2014
Y,,,Y,,,Y,,,Y,,,C,P,,,,,B Ache,,B Pain,,B Pain,B Stiff,B Carpal,No,,No,,,,,,,,,,,Adventure,,Y,,,,,M,9,19,1,2013 - 2014
Y,Y,,Y,,,,,Y,,,,,,P,,,,D,,,,,,,No,,No,,,Y,,,,,,,,,Y,,,,,,M,10,19,0,2013 - 2014
Y,Y,,,,,,,,Y,,,,P,C,,,,,,B Ache,,,,,No,,No,,,,Y,,,Y,,,,,Y,,,,,,M,13,22,8,2013 - 2014
Y,Y,Y,,Y,,,,,,,,B,,,,,,D Pain,,D Numbness,D Pain,D Pain,,D Numbness,No,,FPS,,,Y,,,,Y,,,,Survival Horror,,Y,,,,3DS,M,14,18,28,2013 - 2014
,,,,,Y Need to Sleep,,,,,,,P,C,,,,,,,,,,,,No,,No,,,Y,,Y,,Y,,,,,Y,Y,,,,,M,14,19,22,2013 - 2014
,,,,,,,,,,,,P,C,,,,,,,,,,,,No,,No,,,Y,,,,,,,,,,Y,,,,,F,19,25,,2013 - 2014
,,,,,,,,,,,C,P,,,,,,,,,,,,,YES,Oculus Rift,No,,,Y,,Y,,,,,,,Y,,,,,,M,16,20,70,2013 - 2014
,,,,,,,,,,,,,B,,,,,D,D,,,,,,No,,No,,Y,Y,,,,Y,,,,,Y,,,,,,M,13,19,10,2013 - 2014
Y,Y,,,Y,Y,,,,Y,,,P,C,,,,,,,B Aching,B Aching,,B Aching,B Aching,No,,No,,,Y,,,Y,Y,,,Y,,,Y,,,,,M,16,20,10,2013 - 2014
Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,P,C,,,,,,B Aching,,,,B Aching,No,,FPS,Y,Y,Y,,,,Y,Y,,,,Y,,,,,,F,3,19,33,2013 - 2014
,,,,,Y,,,,,,,,P,C,,,,,,,,,,,No,,No,,,,Y,,,Y,,,,Horror,,Y,,,,,F,11,19,14,2013 - 2014
,,,Y,,Y,,,,,,,,,P,,,,,,,,,,,No,,No,,,,,Y,,Y,,,,,Y,,,,,,M,10,23,42,2013 - 2014
,,,,,,,Y,Y,,,B,,,,,,,B Pain,,,,,,,No,,No,,,Y,,,,,Y,,,Stealth,,Y,,,,,M,13,18,10,2013 - 2014
,,,,,,,,,,,,C,,P,,,,,,,,D Ache,,,No,,Adventure,,,Y,,,,,,,,,,Y,,,,,M,13,19,5,2013 - 2014
Y,Y,,Y,Y,,,,,Y,,,,,,B,,,B Pain,B Pain,,,B Pain,,,No,,Puzzle,,Y,Y,,,,,Y,,,,Y,,,,,,M,18,22,14,2013 - 2014
